categorie,groupe,code,organisme,famille,mode_action,matieres_actives,risque,estime
"Fongicides","A. Synthèse des acides nucléiques","FRAC 4 (A1)","FRAC","Phénylamides (PA) : acylalanines, oxazolidinones, butyrolactones","Inhibition de l'ARN polymérase I (synthèse ARNr)","Métalaxyl-M (méfénoxam), bénalaxyl-M, oxadixyl, furalaxyl","Élevé","non"
"Fongicides","A. Synthèse des acides nucléiques","FRAC 8 (A2)","FRAC","Hydroxy-(2-amino-)pyrimidines","Inhibition de l'adénosine désaminase","Bupirimate, éthirimol, diméthirimol","Modéré","non"
"Fongicides","A. Synthèse des acides nucléiques","FRAC 32 (A3)","FRAC","Isoxazoles / isothiazolones","Inhibition de la synthèse de l'ADN et de l'ARN","Hyméxazol, octhilinone","Faible à modéré","oui"
"Fongicides","A. Synthèse des acides nucléiques","FRAC 31 (A4)","FRAC","Acides carboxyliques (quinolones)","Inhibition de l'ADN topoisomérase II (gyrase)","Acide oxolinique","Élevé","non"
"Fongicides","B. Mitose et division cellulaire","FRAC 1 (B1)","FRAC","Benzimidazoles (MBC) et thiophanates","Inhibition de l'assemblage de la bêta-tubuline","Carbendazime, bénomyl, thiophanate-méthyl, thiabendazole","Très élevé","non"
"Fongicides","B. Mitose et division cellulaire","FRAC 10 (B2)","FRAC","N-phényl carbamates","Assemblage de la bêta-tubuline, site distinct des MBC","Diéthofencarbe","Élevé","non"
"Fongicides","B. Mitose et division cellulaire","FRAC 22 (B3)","FRAC","Benzamides et thiazole-carboxamides","Inhibition de l'assemblage de la bêta-tubuline","Zoxamide, éthaboxame","Faible à modéré","non"
"Fongicides","B. Mitose et division cellulaire","FRAC 20 (B4)","FRAC","Phénylurées","Perturbation de la division cellulaire (site inconnu)","Pencycuron","Faible","non"
"Fongicides","B. Mitose et division cellulaire","FRAC 43 (B5)","FRAC","Benzamides (pyridinylméthyl-benzamides)","Délocalisation de la protéine de type spectrine","Fluopicolide","Modéré","non"
"Fongicides","B. Mitose et division cellulaire","FRAC 47 (B6)","FRAC","Aryl-phényl-cétones","Perturbation de la division cellulaire et du cytosquelette","Métrafénone, pyriofénone","Modéré","non"
"Fongicides","C. Respiration mitochondriale","FRAC 39 (C1)","FRAC","Pyrimidinamines, pyrazole-MET1","Inhibition du complexe I (NADH oxydoréductase)","Diflumétorim, tolfenpyrad","Modéré","oui"
"Fongicides","C. Respiration mitochondriale","FRAC 7 (C2)","FRAC","SDHI : carboxamides, pyrazole-carboxamides, pyridinyl-éthyl-benzamides","Inhibition de la succinate déshydrogénase (complexe II)","Boscalid, fluopyram, fluxapyroxad, penthiopyrad, bixafen, benzovindiflupyr, isopyrazam, sédaxane, pydiflumétofen, carboxine","Modéré à élevé","non"
"Fongicides","C. Respiration mitochondriale","FRAC 11 (C3)","FRAC","QoI : strobilurines, oximino-acétates, imidazolinones, oxazolidinediones","Inhibition du complexe III au site Qo (cytochrome bc1)","Azoxystrobine, trifloxystrobine, pyraclostrobine, krésoxim-méthyl, picoxystrobine, fluoxastrobine, fénamidone, famoxadone","Très élevé","non"
"Fongicides","C. Respiration mitochondriale","FRAC 21 (C4)","FRAC","QiI : cyano-imidazoles, sulfamoyl-triazoles","Inhibition du complexe III au site Qi","Cyazofamide, amisulbrom","Modéré à élevé","non"
"Fongicides","C. Respiration mitochondriale","FRAC 29 (C5)","FRAC","Dinitrophényl crotonates, 2,6-dinitroanilines, pyridinamines","Découplage de la phosphorylation oxydative","Fluazinam, dinocap, meptyldinocap, binapacryl","Faible","non"
"Fongicides","C. Respiration mitochondriale","FRAC 30 (C6)","FRAC","Composés organostanniques (organo-étains)","Inhibition de l'ATP synthase","Acétate de fentine, hydroxyde de fentine","Modéré","non"
"Fongicides","C. Respiration mitochondriale","FRAC 38 (C7)","FRAC","Thiophène-carboxamides","Inhibition de la production d'ATP (site indéterminé)","Silthiofam","Faible","non"
"Fongicides","C. Respiration mitochondriale","FRAC 45 (C8)","FRAC","QoSI : triazolo-pyrimidylamines","Complexe III, site Qo, sous-site de la stigmatelline","Amétoctradine","Modéré","non"
"Fongicides","D. Synthèse des acides aminés et des protéines","FRAC 9 (D1)","FRAC","Anilinopyrimidines (AP)","Inhibition de la biosynthèse de la méthionine et des protéases","Cyprodinil, pyriméthanil, mépanipyrim","Modéré","non"
"Fongicides","D. Synthèse des acides aminés et des protéines","FRAC 24 (D3)","FRAC","Antibiotiques hexopyranosyl","Inhibition de la synthèse protéique (élongation)","Kasugamycine","Modéré","non"
"Fongicides","D. Synthèse des acides aminés et des protéines","FRAC 25 (D4)","FRAC","Antibiotiques glucopyranosyl (aminoglycosides)","Inhibition de la synthèse protéique (initiation)","Streptomycine","Modéré à élevé","non"
"Fongicides","D. Synthèse des acides aminés et des protéines","FRAC 41 (D5)","FRAC","Antibiotiques tétracyclines","Inhibition de la synthèse protéique (ribosome 30S)","Oxytétracycline","Modéré","oui"
"Fongicides","E. Transduction du signal","FRAC 13 (E1)","FRAC","Aza-naphtalènes : quinolines, quinazolinones","Transduction du signal via protéine G (site précis inconnu)","Quinoxyfen, proquinazid","Modéré à élevé","non"
"Fongicides","E. Transduction du signal","FRAC 12 (E2)","FRAC","Phénylpyrroles (PP)","MAP / histidine kinase de la transduction osmotique (os-2)","Fludioxonil, fenpiclonil","Faible à modéré","non"
"Fongicides","E. Transduction du signal","FRAC 2 (E3)","FRAC","Dicarboximides","MAP / histidine kinase de la transduction osmotique (os-1)","Iprodione, procymidone, vinclozoline","Modéré à élevé","non"
"Fongicides","F. Synthèse des lipides et intégrité membranaire","FRAC 6 (F2)","FRAC","Phosphorothiolates, dithiolanes","Inhibition de la biosynthèse des phospholipides et des méthyltransférases","Isoprothiolane, édifenphos, iprobenfos","Modéré","oui"
"Fongicides","F. Synthèse des lipides et intégrité membranaire","FRAC 14 (F3)","FRAC","Hydrocarbures aromatiques et hétéroaromatiques (chlorophényls, nitroanilines)","Peroxydation lipidique probable, perturbation membranaire","Tolclofos-méthyl, quintozène, dicloran, étridiazole","Faible à modéré","non"
"Fongicides","F. Synthèse des lipides et intégrité membranaire","FRAC 28 (F4)","FRAC","Carbamates","Perméabilité membranaire et biosynthèse des acides gras","Propamocarbe, prothiocarbe, iodocarbe","Faible à modéré","non"
"Fongicides","F. Synthèse des lipides et intégrité membranaire","FRAC 49 (F9)","FRAC","OSBPI : pipéridinyl-thiazole-isoxazolines","Inhibition de la protéine homologue de liaison aux oxystérols","Oxathiapiproline, fluoxapiproline","Élevé","non"
"Fongicides","G. Biosynthèse des stérols membranaires (SBI)","FRAC 3 (G1)","FRAC","DMI, SBI classe I : triazoles, imidazoles, pyrimidines, pipérazines, triazolinthiones","Inhibition de la C14-déméthylase (CYP51) de la voie des stérols","Tébuconazole, difénoconazole, propiconazole, époxiconazole, myclobutanil, penconazole, cyproconazole, metconazole, prothioconazole, prochloraze, imazalil, triflumizole, fénarimol","Modéré","non"
"Fongicides","G. Biosynthèse des stérols membranaires (SBI)","FRAC 5 (G2)","FRAC","Amines, SBI classe II : morpholines, pipéridines, spirocétal-amines","Inhibition de la delta14-réductase et de la delta8-delta7 isomérase","Fenpropimorphe, fenpropidine, spiroxamine, tridémorphe, dodémorphe","Faible à modéré","non"
"Fongicides","G. Biosynthèse des stérols membranaires (SBI)","FRAC 17 (G3)","FRAC","KRI, SBI classe III : hydroxyanilides, amino-pyrazolinones","Inhibition de la 3-céto réductase (C4-déméthylation)","Fenhexamid, fenpyrazamine","Modéré","non"
"Fongicides","G. Biosynthèse des stérols membranaires (SBI)","FRAC 18 (G4)","FRAC","SBI classe IV : thiocarbamates, allylamines","Inhibition de la squalène époxydase","Pyributicarbe, naftifine, terbinafine","Faible","oui"
"Fongicides","H. Synthèse de la paroi cellulaire","FRAC 19 (H3)","FRAC","Nucléosides peptidyl-pyrimidiniques (polyoxines)","Inhibition de la chitine synthase","Polyoxine B, polyoxine D","Modéré","non"
"Fongicides","H. Synthèse de la paroi cellulaire","FRAC 40 (H5)","FRAC","CAA : amides d'acides carboxyliques (cinnamamides, valinamides, mandélamides)","Inhibition de la cellulose synthase (CesA3)","Diméthomorphe, mandipropamide, benthiavalicarbe, iprovalicarbe, valifénalate, pyrimorphe","Faible à modéré","non"
"Fongicides","I. Synthèse de la mélanine pariétale (MBI)","FRAC 16.1 (I1)","FRAC","MBI-R : isobenzofuranones, pyrroloquinolinones, triazolobenzothiazoles","Inhibition de la réductase de la voie de la mélanine","Tricyclazole, pyroquilon, phtalide","Modéré","oui"
"Fongicides","I. Synthèse de la mélanine pariétale (MBI)","FRAC 16.2 (I2)","FRAC","MBI-D : cyclopropane-carboxamides, carboxamides, propionamides","Inhibition de la scytalone déshydratase","Carpropamid, diclocymet, fénoxanil","Élevé","non"
"Fongicides","I. Synthèse de la mélanine pariétale (MBI)","FRAC 16.3 (I3)","FRAC","MBI-P : carbamates","Inhibition de la polykétide synthase","Tolprocarbe","Faible","oui"
"Fongicides","P. Induction des défenses de la plante (SDN / SAR)","FRAC P01","FRAC","Benzothiadiazoles (BTH)","Induction de la résistance systémique acquise (voie SAR)","Acibenzolar-S-méthyl (ASM)","Très faible","non"
"Fongicides","P. Induction des défenses de la plante (SDN / SAR)","FRAC P02","FRAC","Benzisothiazoles","Induction des défenses de l'hôte","Probénazole","Très faible","oui"
"Fongicides","P. Induction des défenses de la plante (SDN / SAR)","FRAC P03","FRAC","Thiadiazole-carboxamides","Induction des défenses de l'hôte","Tiadinil, isotianil","Très faible","oui"
"Fongicides","P. Induction des défenses de la plante (SDN / SAR)","FRAC P07","FRAC","Phosphonates","Action directe partielle et stimulation des défenses","Fosétyl-Al, acide phosphoreux et sels de phosphonate","Faible","non"
"Fongicides","P. Induction des défenses de la plante (SDN / SAR)","FRAC P04","FRAC","Extraits végétaux et polysaccharides","Élicitation des défenses (voies JA et SA)","Laminarine, extrait de Reynoutria sachalinensis, chitosane","Très faible","non"
